sym,day,entry_i,side,sgrade,book_r,clock_st_100_trail,clock_st_30_70,clock_st_30_70_be,clock_st_50_50,clock_st_50_50_be,clock_st_70_30,clock_st_70_30_be,clock_st_50_25x4r_25,clock_st_50_25x4r_25_be,clock_st_50_20x4r_20x5r,clock_st_50_20x4r_20x5r_be,clock_st_30_30x4r_30x5r,clock_st_30_30x4r_30x5r_be,clock_st_100_trail_be,clock_oracle_stopped,clock_oracle_best_close,clock_oracle_MFE,noclock_st_100_trail,noclock_st_30_70,noclock_st_30_70_be,noclock_st_50_50,noclock_st_50_50_be,noclock_st_70_30,noclock_st_70_30_be,noclock_st_50_25x4r_25,noclock_st_50_25x4r_25_be,noclock_st_50_20x4r_20x5r,noclock_st_50_20x4r_20x5r_be,noclock_st_30_30x4r_30x5r,noclock_st_30_30x4r_30x5r_be,noclock_st_100_trail_be,noclock_oracle_stopped,noclock_oracle_best_close,noclock_oracle_MFE
PLTR,2025-01-10,85,S,S,3.643,5.520,5.520,5.520,5.520,5.520,5.520,5.520,5.520,5.520,5.520,5.520,5.520,5.520,5.520,5.520,5.520,5.899,5.999,6.237,6.237,6.395,6.395,6.554,6.554,5.896,5.896,5.796,5.796,5.337,5.337,5.999,7.909,7.909,8.273
PLTR,2025-01-14,34,S,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,0.455,5.724,6.455,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,0.455,13.318,13.364
PLTR,2025-01-16,5,L,S,0.566,-0.434,-0.166,-0.166,0.013,0.013,0.192,0.192,0.013,0.013,0.013,0.013,-0.166,-0.166,-0.434,1.150,3.503,3.812,-0.434,-0.166,-0.166,0.013,0.013,0.192,0.192,0.013,0.013,0.013,0.013,-0.166,-0.166,-0.434,1.150,5.706,5.789
PLTR,2025-01-23,67,L,C,1.500,-0.124,0.626,0.581,1.126,1.094,1.626,1.607,1.126,1.094,1.126,1.094,0.626,0.581,-0.562,3.500,3.500,3.688,-1.224,-0.144,0.581,0.576,1.094,1.296,1.607,0.576,1.094,0.576,1.094,-0.144,0.581,-0.562,3.500,6.562,6.625
PLTR,2025-01-31,20,L,C,3.893,4.286,4.232,4.232,4.196,4.196,4.161,4.161,4.125,4.125,4.282,4.282,4.361,4.361,4.286,11.286,11.286,11.571,4.286,4.232,4.232,4.196,4.196,4.161,4.161,4.125,4.125,4.282,4.282,4.361,4.361,4.286,13.640,13.640,13.714
PLTR,2025-03-12,21,S,A,0.929,-0.031,0.148,0.148,0.267,0.267,0.386,0.386,0.267,0.267,0.267,0.267,0.148,0.148,-0.063,3.111,3.111,3.381,-0.031,0.148,0.148,0.267,0.267,0.386,0.386,0.267,0.267,0.267,0.267,0.148,0.148,-0.063,4.111,4.111,4.349
PLTR,2025-03-20,59,L,S,1.910,-0.360,2.075,2.075,1.759,1.759,1.442,1.442,2.121,2.121,2.049,2.049,2.510,2.510,-0.022,4.380,4.380,4.480,-0.360,2.075,2.075,1.759,1.759,1.442,1.442,2.121,2.121,2.049,2.049,2.510,2.510,-0.022,9.138,9.138,9.680
PLTR,2025-04-01,34,S,C,5.071,4.535,4.494,4.494,4.467,4.467,4.440,4.440,4.334,4.334,4.453,4.453,4.473,4.473,4.535,12.133,12.133,13.933,4.535,4.494,4.494,4.467,4.467,4.440,4.440,4.334,4.334,4.453,4.453,4.473,4.473,4.535,12.133,12.133,13.933
PLTR,2025-04-03,11,L,A,2.597,1.484,1.285,1.285,1.153,1.153,1.021,1.021,1.782,1.782,1.656,1.656,2.040,2.040,-0.387,3.145,3.145,4.258,1.484,1.285,1.285,1.153,1.153,1.021,1.021,1.782,1.782,1.656,1.656,2.040,2.040,-0.387,3.145,5.194,5.290
PLTR,2025-04-11,12,L,C,1.840,-0.240,0.408,0.408,0.840,0.840,1.272,1.272,1.900,1.900,1.688,1.688,1.680,1.680,-0.240,2.480,2.480,4.520,-0.240,0.408,0.408,0.840,0.840,1.272,1.272,1.900,1.900,1.688,1.688,1.680,1.680,-0.240,2.480,2.480,4.520
