sym,day,entry_i,side,sgrade,book_r,clock_flat_1r,clock_flat_2r,clock_hod_only,clock_30_30_30_10,clock_50_20_20_10,clock_flat_3r,clock_flat_4r,clock_flat_5r,noclock_flat_1r,noclock_flat_2r,noclock_hod_only,noclock_30_30_30_10,noclock_50_20_20_10,noclock_flat_3r,noclock_flat_4r,noclock_flat_5r
TSLA,2024-10-31,64,S,A,4.175,1.000,2.000,3.788,3.459,3.553,3.000,4.000,4.788,1.000,2.000,3.788,3.459,3.553,3.000,4.000,5.000
TSLA,2024-11-01,21,S,A,2.302,1.000,2.000,0.969,0.545,0.666,3.000,-1.250,-1.250,1.000,2.000,0.969,0.545,0.666,3.000,-1.250,-1.250
TSLA,2024-11-04,41,S,A,-1.000,-1.133,-1.133,-1.133,-1.215,-1.191,-1.133,-1.133,-1.133,-1.133,-1.133,-1.133,-1.215,-1.191,-1.133,-1.133,-1.133
TSLA,2024-11-13,41,S,A,2.204,1.000,2.000,1.330,1.747,1.628,3.000,4.000,5.000,1.000,2.000,1.330,1.747,1.628,3.000,4.000,5.000
TSLA,2024-11-14,84,S,C,-1.000,1.000,2.000,2.653,2.653,2.653,3.000,4.000,2.653,1.000,2.000,-1.250,-1.250,-1.250,3.000,4.000,5.000
TSLA,2024-11-19,34,L,S,2.492,1.000,2.000,3.499,3.346,3.389,3.000,4.000,5.000,1.000,2.000,3.499,3.346,3.389,3.000,4.000,5.000
TSLA,2024-11-22,25,S,A,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2024-12-18,23,L,C,1.337,1.000,2.000,2.191,1.057,1.381,3.000,4.000,5.000,1.000,2.000,2.191,1.057,1.381,3.000,4.000,5.000
TSLA,2024-12-19,13,S,C,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2024-12-23,36,S,A,4.854,1.000,2.000,4.253,4.191,4.209,3.000,4.000,5.000,1.000,2.000,4.253,4.191,4.209,3.000,4.000,5.000
TSLA,2024-12-30,32,S,C,1.154,1.000,-1.250,1.084,0.552,0.704,-1.250,-1.250,-1.250,1.000,-1.250,1.084,0.552,0.704,-1.250,-1.250,-1.250
TSLA,2025-01-22,8,L,A,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2025-02-18,78,L,C,-1.000,1.000,2.000,1.600,1.600,1.600,1.600,1.600,1.600,1.000,2.000,-1.160,-0.845,-0.935,-1.160,-1.160,-1.160
TSLA,2025-02-25,5,S,C,2.811,1.000,2.000,3.581,3.598,3.593,3.000,4.000,5.000,1.000,2.000,3.581,3.598,3.593,3.000,4.000,5.000
TSLA,2025-03-04,22,S,S,3.811,1.000,2.000,2.773,1.690,2.000,3.000,4.000,5.000,1.000,2.000,2.773,1.690,2.000,3.000,4.000,5.000
TSLA,2025-03-11,75,S,C,3.762,1.000,2.000,2.358,0.930,1.338,3.000,4.000,5.000,1.000,2.000,2.358,0.930,1.338,3.000,4.000,5.000
TSLA,2025-03-18,70,S,A,-1.000,1.000,2.000,1.153,1.153,1.153,1.153,1.153,1.153,1.000,2.000,-1.082,-1.200,-1.166,-1.082,-1.082,-1.082
TSLA,2025-03-19,25,S,A,0.817,1.000,2.000,1.117,1.272,1.227,-1.092,-1.092,-1.092,1.000,2.000,1.117,1.272,1.227,-1.092,-1.092,-1.092
