Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Close Date,Close Time,Commission,Custom Tags,Duration,Entry Price,Executions,Exit Price,Gross P&L,Trade Risk,Initial Target,Instrument,Spread Type,Mistakes,Net P&L,Net ROI,Open Date,Open Time,Pips,Reward Ratio,Points,Position MAE,Position MFE,Price MAE,Price MFE,Realized RR,Return Per Pip,Reviewed,Side,Status,Playbook,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Rating,Quantity,Zella Score
Backtesting,329823.0,327743.0,253.71,252.11,20.23,10282.87,245.8001,2024-07-16 13:47:00 UTC,2024-07-16,09:49:07 EDT,0.0,"",127.0,253.71,2,252.11,2080.0,-728.0,2080.0,TSLA,stock,"",2080.0,0.00634644,2024-07-16,09:47:00 EDT,,2.85714286,,-494.0,2405.0,254.09,251.86,2.85714286,,false,short,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1300.0,86.48648649
Backtesting,463338.0,462222.0,257.41,256.79,,,,,2024-07-17,09:51:13 EDT,0.0,"",13.001,257.41,2,256.79,-1116.0,-1116.0,2196.0,TSLA,stock,"",-1116.0,-0.00240861,2024-07-17,09:50:59 EDT,,1.96774194,,-1188.0,72.0,256.75,257.45,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1800.0,-93.93939394
Backtesting,640621.6,638597.0,120.872,120.49,11.6,17447.6,117.58,2024-07-18 14:39:00 UTC,2024-07-18,09:40:20 EDT,0.0,"",20.001,120.872,2,120.49,2024.6,-996.4,2024.6,NVDA,stock,"",2024.6,0.00317039,2024-07-18,09:39:59 EDT,,2.03191489,,-121.9,2236.07,120.895,120.4501,2.03191489,,false,short,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,5300.0,90.54278265
Backtesting,298848.0,299676.0,249.04,249.73,,1920.0,247.44,2024-07-18 19:17:00 UTC,2024-07-18,09:49:00 EDT,0.0,"",60.001,249.04,2,249.73,-828.0,-828.0,2184.0,TSLA,stock,"",-828.0,-0.00276298,2024-07-18,09:47:59 EDT,,2.63768116,,-936.0,804.0,249.82,248.37,-1.0,,false,short,Loss,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1200.0,-88.46153846
Backtesting,304716.0,303576.0,253.93,252.98,,2004.0,255.6,2024-07-18 14:53:00 UTC,2024-07-18,10:31:34 EDT,0.0,"",454.001,253.93,2,252.98,-1140.0,-1140.0,2256.0,TSLA,stock,"",-1140.0,-0.00374119,2024-07-18,10:23:59 EDT,,1.97894737,,-1152.0,1500.0,252.97,255.18,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1200.0,-98.95833333
Backtesting,308828.0,306722.0,118.78,117.97,36.49,5772.0,116.56,2024-07-18 15:08:00 UTC,2024-07-18,10:42:08 EDT,0.0,"",188.001,118.78,2,117.97,2106.0,-988.0,2106.0,NVDA,stock,"",2106.0,0.00686615,2024-07-18,10:38:59 EDT,,2.13157895,,-520.0,2288.0,118.98,117.9,2.13157895,,false,short,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,2600.0,92.04545455
Backtesting,271912.5,270900.0,120.85,120.4,,,,,2024-07-19,09:59:54 EDT,0.0,"",654.001,120.85,2,120.4,-1012.5,-1012.5,1980.0,NVDA,stock,"",-1012.5,-0.00372362,2024-07-19,09:48:59 EDT,,1.95555556,,-1125.0,1687.5,120.35,121.6,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,2250.0,-90.0
Backtesting,246455.0,244290.0,246.455,244.29,35.93,6025.0,240.43,2024-07-19 14:13:00 UTC,2024-07-19,10:01:23 EDT,0.0,"",1043.001,246.455,2,244.29,2165.0,-985.0,2165.0,TSLA,stock,"",2165.0,0.00886242,2024-07-19,09:43:59 EDT,,2.19796954,,-1285.0,2645.0,247.74,243.81,2.19796954,,false,short,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1000.0,81.85255198
Backtesting,390416.0,388512.0,244.01,242.82,27.05,7040.0,239.61,2024-07-19 15:10:00 UTC,2024-07-19,10:12:03 EDT,0.0,"",63.001,244.01,2,242.82,1904.0,-1040.0,1904.0,TSLA,stock,"",1904.0,0.00490075,2024-07-19,10:10:59 EDT,,1.83076923,,-416.0,1920.0,244.27,242.81,1.83076923,,false,short,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1600.0,99.16666667
Backtesting,223956.0,222858.0,124.42,123.81,,18.0,124.43,2024-07-23 15:14:00 UTC,2024-07-23,09:46:55 EDT,0.0,"",115.001,124.42,2,123.81,-1098.0,-1098.0,2160.0,NVDA,stock,"",-1098.0,-0.00490275,2024-07-23,09:44:59 EDT,,1.96721311,,-1134.0,36.0,123.79,124.44,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,1800.0,-96.82539683
Backtesting,424371.0,422127.0,249.63,248.31,33.0,6800.0,245.63,2024-07-23 14:27:00 UTC,2024-07-23,10:03:00 EDT,0.0,"",300.001,249.63,2,248.31,2244.0,-1122.0,2244.0,TSLA,stock,"",2244.0,0.00531594,2024-07-23,09:57:59 EDT,,2.0,,-884.0,2584.0,250.15,248.11,2.0,,false,short,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1700.0,86.84210526
Backtesting,219205.0,221280.0,219.205,221.28,35.87,5785.0,224.99,2024-07-25 14:33:00 UTC,2024-07-25,09:38:07 EDT,0.0,"",247.001,219.205,2,221.28,2075.0,-1075.0,2075.0,TSLA,stock,"",2075.0,0.00946602,2024-07-25,09:33:59 EDT,,1.93023256,,-875.0,2285.0,218.33,221.49,1.93023256,,false,long,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1000.0,90.80962801
